,Topic # 01,Topic # 02,Topic # 03,Topic # 04,Topic # 05,Topic # 06,Topic # 07,Topic # 08,Topic # 09,Topic # 10,Topic # 11,Topic # 12,Topic # 13,Topic # 14,Topic # 15,Topic # 16,Topic # 17,Topic # 18,Topic # 19,Topic # 20
0,bildung,politik,gleichberechtigung,europäisch,kindern,erneuerbar,verkehr,flüchtling,klimaschutz,landwirtschaft,demokratie,arbeitszeitverkürzung,rente,militärisch,polizei,wohnung,klar,kultur,freiheit,zeit
1,ausbildung,ökologisch,frauenpolitik,europa,kindergrundsicherung,energien,bus,asylrecht,klimakrise,natur,demokratisch,arbeit,rentenversicherung,atomwaffe,verfassungsschutz,wohnraum,diskriminierung,kulturell,transformation,schuld
2,jugendliche,fordern,gleich,union,familie,energie,fahrrad,einwanderung,klimawandel,agrarpolitik,politisch,arbeitszeit,krankenversicherung,bundeswehr,geheimdienst,wohnen,dürfen,kunst,brauchen,nahverkehr
3,jung,neu,arbeit,parlament,ehegattensplitting,energiewende,nahverkehr,staatsbürgerschaft,klima,landwirtschaftlich,gesellschaft,job,altersvorsorge,atomar,polizeilich,mieter,unzureichend,kultureinrichtung,sozial,verbraucherrechte
4,schule,gesellschaftsvertrag,erwerbsarbeit,demokratisch,kinderbetreuung,energieeffizienz,autobahn,einwanderungsland,klimaschutzgesetz,schützen,einmischung,arbeitsmarktpolitik,privat,militär,strafverfolgung,wohnungen,verwaltung,kulturschaffend,international,tempo
5,hochschule,sozial,politik,demokratie,erziehung,wind,verkehrsmittel,migrantinn,klimakatastrophe,biologisch,gesellschaftlich,arbeitsplatz,innenversicherung,atomkraftwerk,rechtsstaatlich,wohnungsbau,technik,künstlerisch,sicherheit,instrument
6,weiterbildung,europäisch,gleichstellung,brauchen,unterstützung,energiewend,bundesverkehrswegeplan,asylverfahren,klimaneutralität,umwelt,minderheit,beschäftigter,pflege,nuklear,bundesamt,sozial,kohlregierung,kulturpolitik,modernisierung,fair
7,schüler,unterstützen,gleichberechtigt,kontrolle,alleinerziehend,wärme,öffentlich,flüchtlingspolitik,klimaabkommen,ökologisch,demokratisierung,arbeiten,pflegeversicherung,sicherheit,rechtsextrem,wohngeld,diskriminierungen,erinnerungskultur,gesellschaftlich,insolvenz
8,fördern,politisch,geschlechter,zusammenarbeit,kinder,gas,fernverkehr,staatsbürgerschaftsrecht,klimapolitik,wälder,vertrauen,beschäftigung,bürgerversicherung,entmilitarisierung,spionageabwehr,wohn,diskriminierend,dialog,notwendig,längst
9,hochschulen,nachhaltig,feministisch,euro,kinderarmut,energieversorgung,fahren,einbürgerung,klimaneutral,klima,toleranz,arbeitsmarkt,grundsicherung,konflikt,wirksam,unterstützen,strafrecht,interkulturell,müssen,kündigung
10,schülerinn,europa,weiblich,mitgliedstaat,kindergeld,energi,güterverkehr,migrant,global,naturschutz,zivilgesellschaft,arbeitnehmerinnen,versichern,afghanistan,zurückdrängen,wohnformen,nachricht,brauchen,welt,ungeschützt
11,verbessern,umwelt,männlich,parlamentarisch,jugendliche,energieverbrauch,lärm,einwanderungspolitik,klimaziel,artenvielfalt,kontrolle,arbeitnehmer,gesundheitswesen,international,brauchen,wohnungsnot,lüge,kulturinstitutione,neu,handlungsspielräume
12,ausbildungsplatz,new,geschlechtergerechtigkeit,parlamente,jung,effizient,verkehrssicherheit,migration,klimaschädlich,wald,multikulturell,erwerbsarbeit,garantierent,strategie,prävention,mietrecht,modern,kooperation,gesellschaft,nachhaltig
13,qualität,demokratie,gleichwertig,europaweit,jugendhilfe,energieeinsparung,verkehrspolitik,asylsuchend,umwelt,landwirt,undemokratisch,schwarzarbeit,alter,außenpolitik,kriminalpolitik,wohnungsgenossenschaft,möglich,geschichte,frei,sichern
14,stärken,klimaschutz,geschlechtergerecht,deutschland,brauchen,fossil,atommüll,migrationshintergrund,klimaschutzziele,tierhaltung,freiheit,arbeitslosigkeit,individuell,atomausstieg,gefahrenerkennung,öffentlich,aufstiegschance,kulturlandschaft,global,schlimm
