,Topic # 00,Topic # 01,Topic # 02,Topic # 03,Topic # 04,Topic # 05,Topic # 06,Topic # 07,Topic # 08,Topic # 09,Topic # 10,Topic # 11,Topic # 12,Topic # 13,Topic # 14,Topic # 15,Topic # 16,Topic # 17,Topic # 18,Topic # 19
0,jung,arbeitnehmer,erneuerbar,familie,steuer,rente,bundesregierung,innovation,politik,digital,weitergehen,gemeinde,sozialdemokrat,gleichstellung,arbeit,europäisch,kultur,medizinisch,rechtsextremismus,dürfen
1,jugendliche,arbeit,energien,kindern,steuerreform,rentenversicherung,koalition,innovativ,international,digitalisierung,fortsetzen,öffentlich,sozialdemokratinnen,gleichberechtigt,polizei,europa,kulturell,krankenversicherung,konflikt,niemand
2,bildung,beschäftigung,energie,kindergeld,euro,alterssicherung,deutschland,neu,bank,datenschutz,ausbauen,infrastruktur,demokratie,gleichberechtigung,kriminalität,union,kunst,patient,politik,müssen
3,schule,arbeitsplatz,energieversorgung,alleinerziehend,steuerlich,alter,bundeskanzler,wettbewerb,sicherheit,digitaler,halten,region,sozialdemokratisch,gesellschaft,strafe,sozial,kulturpolitik,gesundheitswesen,terrorismus,fußball
4,weiterbildung,arbeitnehmerinnen,energiepolitik,ausländisch,steuergerechtigkeit,alt,verteidigen,wettbewerbsfähig,politisch,internet,entgegenwirken,strukturschwach,demokratisch,mädchen,verbrechensopfer,interesse,kreativwirtschaft,ambulant,global,reha
5,hochschule,gesetzlich,kernenergie,mütter,mittlerer,altersvorsorge,bundesrat,wettbewerbsfähigkeit,europäisch,medium,entbürokratisieren,verkehrsinfrastruktur,sozial,privatwirtschaft,wirksam,russland,fördern,wettbewerb,rassismus,respekt
6,dual,gewerkschaft,umweltschutz,kinderbetreuung,steuerhinterziehung,arbeitszeit,politisch,brauchen,krise,modern,leitprojekt,ländlich,politik,geschlechtergerechtigkeit,strafverfolgung,deutschland,kreativität,notwendig,sicherungssystem,entschädigung
7,ermöglichen,neu,energiewende,elterngeld,versteuernd,altersversorgung,arbeit,modernisierung,wichtig,rechtlich,kämpfen,lokal,sozialdemokratie,frauenanteil,mehr,brauchen,offen,bürgerversicherung,terroristisch,regelaltersgrenze
8,chance,arbeitgeber,energi,integration,einkommensteuer,sozialversicherung,wählen,international,brauchen,sicherheit,rufen,stadtteil,deutschland,partnerschaftlich,verbessern,mindeststandard,kulturlandschaft,gesetzlich,menschenrecht,grundgesetzes
9,jugendarbeit,mindestlohn,effizient,euro,besteuerung,arbeitslosenversicherung,immer,technologisch,neu,datum,stehen,brauchen,sozialdemokratinn,chancengleichheit,alltagskriminalität,neu,gesellschaft,pflegerisch,marktwirtschaft,notwendigkeit
10,jugendlich,verbessern,energieeffizienz,brauchen,klein,arbeitsversicherung,milliarde,deutschland,unterstützen,öffentlich,position,problem,sozialstaat,gleichstellungspolitik,prävention,stabilitätspakt,erinnerungskultur,gesundheitsversorgung,friedenspolitik,schwach
11,brauchen,arbeitsbedingung,klimawandel,väter,steuerbetrug,langjährig,versuchen,wirtschaftlich,weltweit,infrastruktur,bauen,flächendeckend,terrorherrschaft,gleichstellen,täter,eurozone,kulturgut,rehabilitation,dritter,falsch
12,bildungssystem,arbeitsmarkt,deutschland,kinderzuschlag,steuersenkung,arbeitslosigkeit,bundestagswahl,innovationskraft,finanzmärkt,brauchen,neu,finanzausstattung,regierungsarbeit,wissenschaftlich,straf,ändern,brauchen,krankenhäuser,friedensforschung,bleiben
13,jugendpolitik,schützen,atomkraftwerk,familienfreundlich,erhöhen,versichern,sozial,nachhaltig,initiative,technik,überwinden,wohnungsbau,bundesregierung,gesetz,vollstrecken,mitgliedstaaten,kulturpolitisch,krankenkasse,atomprogramm,prüfen
14,qualifiziert,arbeitslose,atomkraft,rechtsanspruch,bundesregierung,rentenreform,neu,industrie,regulierung,cyberangriffe,gebühr,unmittelbar,geschichte,berufsleben,sollen,prüfen,kulturförderung,internet,solidarität,grundgesetz
